"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_468","468","Autres comptes transitoires","l10n_tn.pcg_46","Regular","account.data_account_type_liability","False"
"l10n_tn.pcg_47","47","Comptes de régularisation","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_471","471","Charges constatées d'avance","l10n_tn.pcg_47","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_472","472","Produits constatés d'avance","l10n_tn.pcg_47","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_478","478","Comptes de répartition périodique de charges et produits","l10n_tn.pcg_47","view","account.data_account_type_view","False"
"l10n_tn.pcg_4786","4786","Charges","l10n_tn.pcg_478","Regular","account.data_account_type_liability","True"
"l10n_tn.pcg_4787","4787","Produits","l10n_tn.pcg_478","Receivable","account.data_account_type_receivable","True"
"l10n_tn.pcg_48","48","Provisions courantes pour risques et charges","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_49","49","Provisions pour dépréciation des comptes de tiers","l10n_tn.pcg_4","view","account.data_account_type_view","False"
"l10n_tn.pcg_5","Classe 5 ","Comptes financiers","l10n_tn.pcg_cla_1_a_5","view","account.data_account_type_view","False"
"l10n_tn.pcg_50","50","Emprunts et autres dettes financières courants","l10n_tn.pcg_5","view","account.data_account_type_view","False"
"l10n_tn.pcg_501","501","Emprunts courants liés au cycle d'exploitation","l10n_tn.pcg_50","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_505","505","Échéances à moins d'un an sur emprunts non courants","l10n_tn.pcg_50","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_506","506","Concours bancaires courants","l10n_tn.pcg_50","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5061","5061","Crédit de mobilisation de créances commerciales","l10n_tn.pcg_506","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5063","5063","Mobilisation de créances nées à l'étranger","l10n_tn.pcg_506","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5067","5067","Autres concours bancaires","l10n_tn.pcg_506","Regular","account.data_account_type_cash","False"
